bloque,tiempo_h,zona,suministro,inventario_inicio_medio,reposicion_recibida_medio,demanda_medio,demanda_ic95_inferior,demanda_ic95_superior,consumo_satisfecho_medio,inventario_fin_medio,inventario_fin_ic95_inferior,inventario_fin_ic95_superior,deficit_medio,deficit_ic95_inferior,deficit_ic95_superior,superavit_medio
5,30,Z5,agua,22343.390374245922,0.0,1122.837125508748,1087.7193777765747,1157.9548732409212,1122.837125508748,21220.553248737175,21135.962176240813,21305.144321233536,0.0,0.0,0.0,21220.553248737175
5,30,Z5,alimentos,5345.061780168122,0.0,381.12152675495446,371.2686661516185,390.9743873582904,381.12152675495446,4963.940253413169,4934.668155143876,4993.212351682461,0.0,0.0,0.0,4963.940253413169
5,30,Z5,medicamentos,51.7141279462531,0.0,18.841643479365118,18.279783955823543,19.403503002906692,18.841643479365118,32.87248446688798,31.56635044742797,34.178618486348,0.0,0.0,0.0,32.87248446688798
6,36,Z1,agua,0.0,0.0,307.4652758874123,298.09514832442835,316.83540345039626,0.0,0.0,0.0,0.0,307.4652758874123,298.09514832442835,316.83540345039626,0.0
6,36,Z1,alimentos,0.0,0.0,98.46410927940224,95.67381312194682,101.25440543685765,0.0,0.0,0.0,0.0,98.46410927940224,95.67381312194682,101.25440543685765,0.0
6,36,Z1,medicamentos,0.0,0.0,4.944858023675478,4.7993231818463045,5.090392865504652,0.0,0.0,0.0,0.0,4.944858023675478,4.7993231818463045,5.090392865504652,0.0
6,36,Z2,agua,55130.438174394185,0.0,1676.0410684578433,1628.141784512106,1723.9403524035806,1676.0410684578433,53454.397105936325,53316.04355622274,53592.75065564991,0.0,0.0,0.0,53454.397105936325
6,36,Z2,alimentos,14713.03267730939,0.0,561.4453091780473,547.1624031066302,575.7282152494644,561.4453091780473,14151.587368131346,14108.405878812573,14194.768857450119,0.0,0.0,0.0,14151.587368131346
6,36,Z2,medicamentos,217.19203121262169,0.0,27.03535796016587,26.296233558351133,27.77448236198061,27.03535796016587,190.1566732524558,188.00261759960404,192.31072890530754,0.0,0.0,0.0,190.1566732524558
6,36,Z3,agua,29295.553141397413,0.0,1835.9424290540671,1786.3233344785515,1885.5615236295828,1835.9424290540671,27459.610712343343,27331.740131180017,27587.48129350667,0.0,0.0,0.0,27459.610712343343
6,36,Z3,alimentos,5896.708477450053,0.0,600.0984584502444,582.7387050106202,617.4582118898686,600.0984584502444,5296.610018999808,5247.077546229479,5346.142491770137,0.0,0.0,0.0,5296.610018999808
6,36,Z3,medicamentos,28.561268810699747,0.0,29.281581798827837,28.372096808496416,30.191066789159258,23.718932584746064,4.842336225953686,3.5091856711109033,6.1754867807964695,5.562649214081772,4.123540686377362,7.001757741786182,4.842336225953686
6,36,Z4,agua,292439.4733957073,120000.0,1506.3256965090861,1464.5493138289785,1548.1020791891938,1506.3256965090861,410933.1476991983,410833.803076351,411032.49232204555,0.0,0.0,0.0,410933.1476991983
6,36,Z4,alimentos,62467.5627689021,22000.0,501.0190886905616,484.3788862747493,517.6592911063739,501.0190886905616,83966.54368021157,83930.50696544308,84002.58039498006,0.0,0.0,0.0,83966.54368021157
6,36,Z4,medicamentos,1673.9910526711628,600.0,25.39511878674862,24.581546317256024,26.208691256241213,25.39511878674862,2248.5959338844145,2247.021616709637,2250.170251059192,0.0,0.0,0.0,2248.5959338844145
6,36,Z5,agua,21220.553248737175,0.0,1134.0796276504998,1101.1942249397923,1166.9650303612073,1134.0796276504998,20086.473621086676,19995.75325703169,20177.19398514166,0.0,0.0,0.0,20086.473621086676
